,업종명,인허가일자,업소명,소재지(도로명),addr,영업장면적(건물내_외부),업태명,담당부서,데이터기준일자,latitude,longitude
7121,일반음식점,2023-02-13,호멜맥주,"서울특별시 동작구 노들로2길 7, 노량진 드림스퀘어 복합빌딩 B동 지하1층 BB01,02,03,04호 (노량진동)",서울특별시 동작구 노량진동 16-1 노량진 드림스퀘어 복합빌딩,374.37,호프/통닭,보건행정과,2024-08-19,37.5142247,126.9385174
7122,일반음식점,2023-02-15,잇쇼 타코야끼,"서울특별시 동작구 만양로14길 7, 1층 (노량진동)",서울특별시 동작구 노량진동 119-151,15.0,기타,보건행정과,2024-08-19,37.51146860000001,126.9448562
7123,일반음식점,2023-02-16,블랙&조이,"서울특별시 동작구 상도로58길 2, 2층 (상도동)",서울특별시 동작구 상도동 490-5,61.36,기타,보건행정과,2024-08-19,37.4960463,126.9531982
7124,일반음식점,2023-02-20,와이든 커피,"서울특별시 동작구 여의대방로26길 73, 1층 (대방동)",서울특별시 동작구 대방동 403-3,80.0,기타,보건행정과,2024-08-19,37.4993937,126.9245031
7125,일반음식점,2023-02-21,콜리브리(COLIBRI),"서울특별시 동작구 여의대방로24길 22, 1층 101호 (신대방동)",서울특별시 동작구 신대방동 362-17,65.64,기타,보건행정과,2024-08-19,37.4979085,126.9214165
7126,일반음식점,2023-02-22,딜리버리 프렌즈,"서울특별시 동작구 사당로27길 19, 1층 101호 (사당동)",서울특별시 동작구 사당동 150-14,23.65,기타,보건행정과,2024-08-19,37.4849629,126.9781641
7127,일반음식점,2023-02-24,월매 흑염소 요리점,"서울특별시 동작구 여의대방로22길 121, 2층 2406호 (신대방동, 보라매자이 더 포레스트)",서울특별시 동작구 신대방동 724 보라매자이 더 포레스트,84.45,한식,보건행정과,2024-08-19,37.4982221,126.9266084
7128,일반음식점,2023-02-24,오와스시,"서울특별시 동작구 여의대방로22길 121, 상가동 1층 1417호 (신대방동, 보라매자이 더 포레스트)",서울특별시 동작구 신대방동 724 보라매자이 더 포레스트,75.42,일식,보건행정과,2024-08-19,37.4982221,126.9266084
7129,일반음식점,2023-02-27,팔육,"서울특별시 동작구 노량진로 110, 1층 113호 (노량진동)",서울특별시 동작구 노량진동 41-5,41.86,한식,보건행정과,2024-08-19,37.5131999,126.9380239
7130,일반음식점,2023-02-27,금목,"서울특별시 동작구 사당로23길 2, 1층 (사당동)",서울특별시 동작구 사당동 155-2,68.2,일식,보건행정과,2024-08-19,37.4841916,126.977415
7131,일반음식점,2023-02-28,훈이네 치킨연구소,"서울특별시 동작구 동작대로29나길 19, 1층 (사당동)",서울특별시 동작구 사당동 91-164,27.0,기타,보건행정과,2024-08-19,37.48891589999999,126.9804615
7132,일반음식점,2023-03-02,일루와 포차,"서울특별시 동작구 노들로2길 7, 노량진 드림스퀘어 복합빌딩 D동 1층 107호 (노량진동)",서울특별시 동작구 노량진동 16-1 노량진 드림스퀘어 복합빌딩,35.48,기타,보건행정과,2024-08-19,37.5142247,126.9385174
7133,일반음식점,2023-03-02,파스타 어때 상도점,"서울특별시 동작구 상도로37길 55, 비동 지1층 B04호 (상도동, 동원베스트타운)",서울특별시 동작구 상도동 465-1,19.85,경양식,보건행정과,2024-08-19,37.4993794,126.9518654
7134,일반음식점,2023-03-02,908,"서울특별시 동작구 동작대로27가길 26, 2층 (사당동)",서울특별시 동작구 사당동 137-8,99.39,기타,보건행정과,2024-08-19,37.4865129,126.9808519
7135,일반음식점,2023-03-03,미분당 노량진점,"서울특별시 동작구 만양로 105, 1층 107호 (노량진동)",서울특별시 동작구 노량진동 116-2,70.53,기타,보건행정과,2024-08-19,37.5128993,126.9439789
7136,일반음식점,2023-03-06,노아이디어피자,"서울특별시 동작구 동작대로33가길 5, 삼정빌딩 1층 102호 (사당동)",서울특별시 동작구 사당동 83-2 삼정빌딩,60.76,기타,보건행정과,2024-08-19,37.4898198,126.9816446
7137,일반음식점,2023-03-08,맛있는도적,"서울특별시 동작구 장승배기로27길 9-1, 1층 (노량진동)",서울특별시 동작구 노량진동 243-11,54.46,한식,보건행정과,2024-08-19,37.5117068,126.9393934
7138,일반음식점,2023-03-09,과일프레소,"서울특별시 동작구 동작대로21길 16, 1층 (사당동)",서울특별시 동작구 사당동 1006-12,25.0,기타,보건행정과,2024-08-19,37.4839482,126.9808799
7139,일반음식점,2023-03-10,비에이치씨 보라매타운점,"서울특별시 동작구 보라매로5길 43, 상가동 지하1층 106-1, 106-2호 (신대방동, 보라매삼성쉐르빌)",서울특별시 동작구 신대방동 395-66 보라매삼성쉐르빌,168.32,호프/통닭,보건행정과,2024-08-19,37.4913872,126.9233963
7140,일반음식점,2023-03-13,래빗(RABBIT),"서울특별시 동작구 동작대로23길 25, 1층 (사당동)",서울특별시 동작구 사당동 1006-7,26.43,경양식,보건행정과,2024-08-19,37.4840783,126.980296
7141,일반음식점,2023-03-13,큰골양곱창구이,"서울특별시 동작구 상도로 317-1, 1층 (상도1동)",서울특별시 동작구 상도1동 258,129.39,한식,보건행정과,2024-08-19,37.4997832,126.9509542
7142,일반음식점,2023-03-15,빵구석,"서울특별시 동작구 여의대방로22나길 18, 1층 (신대방동)",서울특별시 동작구 신대방동 368-21,40.0,기타,보건행정과,2024-08-19,37.4969421,126.9208976
7143,일반음식점,2023-03-16,2도 에이징 사당점,"서울특별시 동작구 동작대로7길 97, 1층 (사당동)",서울특별시 동작구 사당동 1045-7,133.32,한식,보건행정과,2024-08-19,37.4771145,126.9778737
7144,일반음식점,2023-03-17,남도미가,"서울특별시 동작구 노량진로12길 4-1, 1층 (노량진동)",서울특별시 동작구 노량진동 40-30,53.88,한식,보건행정과,2024-08-19,37.5130368,126.9381756
7145,일반음식점,2023-03-22,Oh!슈,"서울특별시 동작구 만양로8길 68, 1층 (노량진동)",서울특별시 동작구 노량진동 123-44,27.6,분식,보건행정과,2024-08-19,37.5104806,126.9458204
7146,일반음식점,2023-03-22,730,"서울특별시 동작구 상도로37길 35, 1층 (상도1동)",서울특별시 동작구 상도1동 364-4,53.82,기타,보건행정과,2024-08-19,37.5008103,126.9505697
7147,일반음식점,2023-03-23,리얼빙수화채,"서울특별시 동작구 성대로29길 73, 지1층 B01호 (상도동, 다담빌)",서울특별시 동작구 상도동 238-12,24.36,기타,보건행정과,2024-08-19,37.501093,126.9371421
7148,일반음식점,2023-03-24,수상한 삼겹살 노량진점,"서울특별시 동작구 노량진로10길 29, 1층 (노량진동)",서울특별시 동작구 노량진동 256-50,26.0,기타,보건행정과,2024-08-19,37.5120534,126.9376003
7149,일반음식점,2023-03-27,상도김밥연구소,"서울특별시 동작구 상도로52길 28, 1층 102호 (상도동)",서울특별시 동작구 상도동 470-9,15.0,분식,보건행정과,2024-08-19,37.4972569,126.9506116
7150,일반음식점,2023-03-29,당기름,"서울특별시 동작구 동작대로3길 41, 1층 01호 (사당동)",서울특별시 동작구 사당동 1038-49,32.72,기타,보건행정과,2024-08-19,37.4786486,126.979181
7151,일반음식점,2023-03-29,사당우물,"서울특별시 동작구 동작대로7길 76, 1층 (사당동)",서울특별시 동작구 사당동 1038-26,45.0,한식,보건행정과,2024-08-19,37.4779011,126.978441
7152,일반음식점,2023-03-30,낙성대우동,"서울특별시 동작구 여의대방로22길 121, 상가동 1층 1448호 (신대방동, 보라매자이 더 포레스트)",서울특별시 동작구 신대방동 724 보라매자이 더 포레스트,68.0,한식,보건행정과,2024-08-19,37.4982221,126.9266084
